ID,X,Y,Z,Bearing,Diameter,dx,dy
0,,,,,,16536.7932965,-2752.6272572
1,,,,,,16538.5655669,-2748.3175887
2,,,,,,16540.1334607,-2744.2636570
3,,,,,,16537.3892665,-2743.0813441
4,,,,,,16535.7427547,-2747.1263585
5,,,,,,16534.1678528,-2751.5741908
