id,name,lat,long
0,RTK,30.1320295,-97.1854393
1,T1,30.1328819,-97.1857866
2,T2,30.1329089,-97.1858418
3,T3,30.1329375,-97.1858938
4,T4,30.1329673,-97.1859451
5,T5,30.1329983,-97.1859986
6,T6,30.1329497,-97.1860278
7,T7,30.1329193,-97.185976
8,T8,30.1328913,-97.1859245
9,T9,30.1328513,-97.1858715
10,T10,30.1328314,-97.1858203
