id,name,lat,long
0,RTK,30.13196360,-97.18542650
1,WILLY,30.13196360,-97.18542650
2,T0,30.13286898,-97.18578673
3,T1,30.13289769,-97.18583855
4,T2,30.13292734,-97.18589022
5,T3,30.13295666,-97.18594254
6,T4,30.13298557,-97.18599503
7,T5,30.13293948,-97.18602526
8,T6,30.13290947,-97.18597278
9,T7,30.13288011,-97.18592096
10,T8,30.13285128,-97.18586923
11,T9,30.13282071,-97.18581711

